"","row_identifier","latitude","longitude","bio13","bio14","bio5","gsl","mean_forest_combined","mean_wetland_combined","mean_urban_combined","mean_mining_combined","diff_forest_combined","diff_wetland_combined","diff_urban_combined","diff_mining_combined","focal"
"152",757,-12.15,-57.98,38.3399993896484,0.5,-269.904999923706,327,0.662882799103293,0,0,0,-0.180995120261396,0,0,0,1
"153",758,-12.035,-48.546,25.5600006103516,0.0699999988079071,-269.684999847412,297,0.101603088001386,0,0.369994975315965,0,-0.0139972614746094,0,0.00709469200511268,0,1
"154",759,-11.981,-48.234,26.3899993896484,0.0400000005960464,-269.715000152588,295,4.37509674072266e-05,4.37509674072266e-05,0.316316031335449,0,0.000437509674072265,-0.000437509674072265,0.0595003110046391,0,1
"155",760,-11.943,-38.074,17.6100006103516,6.12000007629395,-270.045000076294,336,0.00558762448242187,0,0.602757748483813,0,0.0226812788818359,0,0.294526496364456,0,1
"156",761,-11.83,-55.49,36.2299987792969,0.379999995231628,-269.884999847412,321,0,0,0.974396053333222,0,0,0,0.0625546242262904,0,1
"157",762,-11.789,-38.354,10.9300003051758,4.27000007629395,-269.985000038147,231,0,0,0.704294760422627,0,0,0,0.169993602014641,0,1
"158",763,-11.617,-50.669,32.8899993896484,0.0400000005960464,-269.634999847412,309,0.0960298640099619,0.0455369500263887,0.441270819731754,0,0.0100756379394531,0.0122829480203067,0.00517266899880811,0,1
"159",764,-11.61,-50.67,32.8700012207031,0.0400000005960464,-269.645000076294,309,0.0196043126968383,0.0203927040145874,0,0,0.00087615795898437,0.00306656521606446,0,0,1
"160",765,-11.525,-61.013,35,1.05,-269.925,343,0,0,0.95988826054095,0,0,0,0.00866621576645778,0,1
"161",766,-11.52,-54.36,33.2200012207031,0.329999995231628,-269.845000076294,323,0.112529150412023,0.000372479200744629,0,0,0.00729148541271733,0,0,0,1
"162",767,-11.49,-54.88,35.3200012207031,0.440000009536743,-269.875,323,0.162463372955322,0,0,0,-0.146379602020264,0,0,0,1
"163",768,-11.415,-69.491,24.2100006103516,2.75,-270.104999923706,365,0.390919296181354,0.0234862519607364,0.0984701355750229,0,-0.245173410851812,-0.016444991607307,0.0269939295525046,0,1
"164",769,-11.41,-57.35,33.95,0.370000004768372,-269.854999923706,334,0.130054462294676,0,0,0,0.0699527526674757,0,0,0,1
"165",770,-11.133,-54.597,33.0299987792969,0.379999995231628,-269.865000152588,321,0.727657572595591,0,0,0,0.0453269297517662,0,0,0,1
"166",771,-11.11,-54.6,33.2399993896484,0.379999995231628,-269.875,322,0.0290062410598755,0,0,0,0.0184306219482421,0,0,0,1
"167",772,-11.072,-68.771,28.1600006103516,2.13999996185303,-270.025,365,0.279780169215064,0,0.00732926956481934,0,-0.0268807252845915,0,0.0157996234130859,0,1
"168",773,-11.03,-51.83,31.3700012207031,0.0699999988079071,-269.715000152588,316,0.024705011663549,0,0,0,0.0154819819188735,0,0,0,1
